gene_id	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DE_02	DE_03	DE_05	DE_11	DE_12	DE_13	DE_14	DE_15
TRINITY_DN111212_c0_g1_i1	HOL01	HOL03	250.281940061743	0	93.8557275231537	10.5500742651957	1.22330490533157	8.62423932023408	6.45200681674972e-18	5.39985373790352e-16	151	204	330	0	0	0	0	0
TRINITY_DN118145_c0_g1_i1	HOL01	HOL03	143.308200043435	0	53.7405750162879	9.74515017985582	1.13184591839769	8.609961852097	7.30848925555398e-18	6.042374861848901e-16	134	100	161	0	0	0	0	0
TRINITY_DN1030_c0_g1_i7	HOL01	HOL03	1068.5635902212	0	400.711346332952	12.6444797356862	1.47925478259952	8.54787145826618	1.25379240126365e-17	9.8475748562327e-16	521	545	1757	0	0	0	0	0
TRINITY_DN125172_c1_g1_i4	HOL01	HOL03	235.46383337803	0	88.2989375167613	10.4630064512665	1.22666933820595	8.52960624789808	1.46846674346385e-17	1.1358924003134602e-15	230	378	97	0	0	0	0	0
TRINITY_DN107794_c0_g1_i2	HOL01	HOL03	830.26007693965	0	311.347528852369	12.2804174426082	1.44109865392599	8.52156610454991	1.57410128264755e-17	1.20693575568006e-15	392	488	1328	0	0	0	0	0
TRINITY_DN104486_c0_g1_i2	HOL01	HOL03	126.285891938502	0	47.3572094769382	9.56266810730002	1.12457209742872	8.50338375739942	1.84142914795299e-17	1.3944557959338e-15	90	112	148	0	0	0	0	0
TRINITY_DN108051_c0_g1_i2	HOL01	HOL03	219.907346777164	0	82.4652550414367	10.3632987382114	1.21957552257518	8.49746370469037	1.93778063523983e-17	1.4601999391967701e-15	155	155	289	0	0	0	0	0
TRINITY_DN11759_c0_g1_i1	HOL01	HOL03	533.441583947497	0	200.040593980311	11.6421110806276	1.37435724886732	8.47094966772467	2.43400401617985e-17	1.7943969680291903e-15	276	344	810	0	0	0	0	0
TRINITY_DN13385_c0_g1_i1	HOL01	HOL03	188.931550949782	0	70.8493316061684	10.1451192119672	1.20606196966706	8.41177275058911	4.03859770636335e-17	2.8211700260540204e-15	279	179	90	0	0	0	0	0
TRINITY_DN12212_c1_g1_i1	HOL01	HOL03	229.88112732808	0	86.2054227480301	10.427334669725	1.24080850361293	8.40366151534515	4.3276890589818304e-17	3.0025732142741103e-15	199	132	293	0	0	0	0	0
TRINITY_DN134574_c0_g1_i1	HOL01	HOL03	113.252461746297	0	42.4696731548614	9.40550921203793	1.12376276789599	8.36965726284716	5.77860607909933e-17	3.91609230336131e-15	77	107	131	0	0	0	0	0
TRINITY_DN100193_c0_g1_i1	HOL01	HOL03	75.4802453182692	0	28.305091994351	8.81937241836278	1.05519770370623	8.35802844091305	6.37750734967839e-17	4.29346409630052e-15	71	64	76	0	0	0	0	0
TRINITY_DN12046_c0_g1_i2	HOL01	HOL03	99.2042542078061	0	37.2015953279273	9.21499742145327	1.10461162210689	8.34229627593176	7.28616235145358e-17	4.86244187513182e-15	127	75	78	0	0	0	0	0
TRINITY_DN10063_c0_g1_i5	HOL01	HOL03	123.839333343138	0	46.4397500036768	9.53634274708607	1.15168377095695	8.28034829314488	1.2281553885872299e-16	7.90341213981299e-15	85	201	80	0	0	0	0	0
TRINITY_DN1157_c0_g2_i1	HOL01	HOL03	2053.20176817114	0	769.950663064176	13.5867217028993	1.6594027978301	8.18771772632043	2.66226322189112e-16	1.60057145988926e-14	596	996	3759	0	0	0	0	0
TRINITY_DN10897_c0_g1_i2	HOL01	HOL03	176.261987373842	0	66.0982452651907	10.0440093878217	1.23404822020606	8.13907367910187	3.9831353886025003e-16	2.3064160993568503e-14	117	128	235	0	0	0	0	0
TRINITY_DN112029_c0_g3_i2	HOL01	HOL03	132.408600585706	0	49.6532252196397	9.63117520847672	1.18453798071419	8.13074410891396	4.26663168158415e-16	2.4612679539443502e-14	80	122	164	0	0	0	0	0
TRINITY_DN1000830_c0_g1_i1	HOL01	HOL03	159.05919442819	0	59.6471979105714	9.8957699473258	1.22076977542486	8.10617214362291	5.22394191398014e-16	2.97983569344661e-14	107	118	209	0	0	0	0	0
TRINITY_DN12320_c0_g1_i2	HOL01	HOL03	104.493364583273	0	39.1850117187274	9.28934056256153	1.14841985177129	8.08880179860519	6.02545281919229e-16	3.39905447571066e-14	68	98	124	0	0	0	0	0
TRINITY_DN102966_c0_g1_i1	HOL01	HOL03	125.676399006862	0	47.1286496275734	9.55758050262015	1.18341607241867	8.07626389853426	6.678127541011801e-16	3.72267631979077e-14	145	172	55	0	0	0	0	0
TRINITY_DN116_c0_g1_i1	HOL01	HOL03	336.17041438006	0	126.063905392523	10.9758434931141	1.36107803371083	8.06408098673788	7.378883263720859e-16	4.07989643849577e-14	200	197	503	0	0	0	0	0
TRINITY_DN12096_c0_g1_i2	HOL01	HOL03	233.548287953548	0	87.5806079825805	10.4502087383771	1.29688275194362	8.05794411462061	7.75882732909893e-16	4.2783891868819804e-14	143	157	331	0	0	0	0	0
TRINITY_DN122969_c0_g1_i1	HOL01	HOL03	129.79218033558	0	48.6720676258424	9.60218468362879	1.1916646900771	8.0577907221599	7.76856693828863e-16	4.27990752104655e-14	97	94	164	0	0	0	0	0
TRINITY_DN115_c1_g1_i1	HOL01	HOL03	410.813872815501	0	154.055202305813	11.2652170139413	1.40010054339454	8.0460057437224	8.55399795358424e-16	4.65402821163793e-14	197	269	634	0	0	0	0	0
TRINITY_DN113686_c0_g1_i1	HOL01	HOL03	189.773395857146	0	71.1650234464298	10.1507217115525	1.26803084873973	8.00510628084573	1.19363536484523e-15	6.2768826915462e-14	101	161	257	0	0	0	0	0
TRINITY_DN100066_c0_g1_i1	HOL01	HOL03	402.01174116741	0	150.754402937779	11.2339649188882	1.40354434900839	8.00399711403853	1.2044421419411602e-15	6.32285680734715e-14	192	262	622	0	0	0	0	0
TRINITY_DN10189_c1_g2_i2	HOL01	HOL03	212.131393087069	0	79.5492724076509	10.3114414405697	1.29023403058426	7.99191557201474	1.3285801566796302e-15	6.93294771198159e-14	114	167	296	0	0	0	0	0
TRINITY_DN11893_c0_g1_i3	HOL01	HOL03	119.392796254664	0	44.7722985954989	9.48181486573453	1.18741246122913	7.98527485210958	1.4020954980494502e-15	7.254778420355021e-14	72	110	148	0	0	0	0	0
TRINITY_DN11307_c0_g3_i4	HOL01	HOL03	185.195209228302	0	69.4482034606133	10.115371661698	1.26855383926829	7.97393957479382	1.53694706425393e-15	7.91909066420423e-14	134	115	252	0	0	0	0	0
TRINITY_DN115_c1_g2_i1	HOL01	HOL03	404.558516448639	0	151.70944366824	11.2430812880999	1.41036552845042	7.97174991964871	1.56443136399619e-15	8.04041599433715e-14	187	268	628	0	0	0	0	0
TRINITY_DN12306_c0_g1_i1	HOL01	HOL03	421.115860899084	0	157.918447837157	11.3009507059773	1.420272620668	7.95688837588246	1.7641973631298502e-15	8.96185929166035e-14	212	248	662	0	0	0	0	0
TRINITY_DN104055_c0_g1_i1	HOL01	HOL03	210.726884582427	0	79.02258171841	10.3018330744262	1.29782268437172	7.93778163880174	2.05829285382284e-15	1.03189194029254e-13	119	154	298	0	0	0	0	0
TRINITY_DN1070_c0_g1_i4	HOL01	HOL03	390.705868723157	0	146.514700771184	11.1928020956797	1.41191449279659	7.92739372871651	2.2379288238269002e-15	1.11646769978915e-13	188	247	609	0	0	0	0	0
TRINITY_DN129843_c0_g1_i1	HOL01	HOL03	205.763357266242	0	77.1612589748409	10.2674218640332	1.29634837845313	7.92026436310653	2.3700612666304503e-15	1.17663746659304e-13	120	146	291	0	0	0	0	0
TRINITY_DN1199_c0_g2_i1	HOL01	HOL03	76.6126689964357	0	28.7297508736634	8.84130463343888	1.1169566325823	7.91553080534436	2.4620042510963902e-15	1.21735081868376e-13	52	76	86	0	0	0	0	0
TRINITY_DN101678_c0_g1_i1	HOL01	HOL03	96.790109573336	0	36.296291090001	9.17887989436713	1.16098331625168	7.90612557982471	2.65523326759606e-15	1.30447117620479e-13	60	94	115	0	0	0	0	0
TRINITY_DN1050_c0_g1_i2	HOL01	HOL03	67.9023458184428	0	25.463379681916	8.66963445879549	1.09728060655897	7.90101857899699	2.76633411689628e-15	1.35462321065853e-13	84	74	39	0	0	0	0	0
TRINITY_DN1000942_c0_g1_i1	HOL01	HOL03	410.855913924986	0	154.07096772187	11.2653746378849	1.42652882746722	7.89705361782727	2.8557354574968404e-15	1.39292134818972e-13	181	274	644	0	0	0	0	0
TRINITY_DN12320_c0_g1_i1	HOL01	HOL03	201.156843202062	0	75.4338162007733	10.2348390861433	1.30123855385917	7.86545945460125	3.6774520383177504e-15	1.75871775350086e-13	97	176	277	0	0	0	0	0
TRINITY_DN12212_c1_g1_i2	HOL01	HOL03	291.259762825377	0	109.222411059517	10.7689530045434	1.37170634719183	7.85077143266834	4.1348593321142605e-15	1.9576034564398399e-13	134	218	434	0	0	0	0	0
TRINITY_DN117409_c0_g1_i2	HOL01	HOL03	99.6517956817671	0	37.3694233806626	9.22065402841178	1.18403586762506	7.787478640243	6.835959233028331e-15	3.09986210579581e-13	76	73	124	0	0	0	0	0
TRINITY_DN1001326_c0_g1_i1	HOL01	HOL03	83.6785403427621	0	31.3794526285358	8.96845534043272	1.15680203463133	7.75280045499831	8.988781082714811e-15	4.00494323978442e-13	59	71	101	0	0	0	0	0
TRINITY_DN11522_c0_g1_i3	HOL01	HOL03	433.490590133036	0	162.558971299889	11.3427660119148	1.47359269986264	7.6973549156236	1.38911670233517e-14	5.97622588027806e-13	169	288	699	0	0	0	0	0
TRINITY_DN112269_c0_g1_i1	HOL01	HOL03	178.257374377083	0	66.8465153914063	10.0603601886268	1.30732155529764	7.69539838753467	1.4105398922334401e-14	6.05563457728782e-13	94	138	252	0	0	0	0	0
TRINITY_DN11302_c0_g1_i1	HOL01	HOL03	262.079884662997	0	98.2799567486237	10.616586411781	1.38274462796777	7.67790826812632	1.61707214767041e-14	6.87485711191756e-13	137	166	399	0	0	0	0	0
TRINITY_DN126716_c0_g1_i2	HOL01	HOL03	127.513589963006	0	47.8175962361271	9.57674870117668	1.24816127420763	7.67268533247541	1.6843233511079402e-14	7.14094819784955e-13	77	100	171	0	0	0	0	0
TRINITY_DN103032_c0_g1_i1	HOL01	HOL03	191.544135259189	0	71.8290507221957	10.1640617893113	1.32523336974719	7.66963919060552	1.7248084072491502e-14	7.29744043185807e-13	124	115	276	0	0	0	0	0
TRINITY_DN128203_c0_g1_i1	HOL01	HOL03	55.2659955057542	0	20.7247483146578	8.36921391597645	1.09234733976503	7.6616783062581	1.8351885822343e-14	7.72708990470238e-13	45	49	60	0	0	0	0	0
TRINITY_DN13204_c0_g2_i1	HOL01	HOL03	139.648952276833	0	52.3683571038125	9.70792243122392	1.2680914919953	7.65553786339884	1.9250481858766302e-14	8.07768678160001e-13	102	87	189	0	0	0	0	0
TRINITY_DN11469_c0_g1_i1	HOL01	HOL03	1427.85625742677	0	535.446096535039	13.0626790084502	1.70721097700157	7.65147318311686	1.98689751646435e-14	8.29177810293975e-13	402	601	2693	0	0	0	0	0
TRINITY_DN101069_c0_g1_i1	HOL01	HOL03	310.781421255456	0	116.543032970796	10.8625534164456	1.42235672118606	7.6370106420193	2.22323130700033e-14	9.2277655528971e-13	151	190	488	0	0	0	0	0
TRINITY_DN11467_c0_g1_i2	HOL01	HOL03	107.887243326046	0	40.4577162472672	9.33639244876727	1.22498931944308	7.62161130760872	2.50528471339495e-14	1.0293846907894999e-12	51	146	111	0	0	0	0	0
TRINITY_DN110538_c0_g1_i2	HOL01	HOL03	228.582209748491	0	85.718328655684	10.4192273784359	1.3692105496249	7.60966045820365	2.74816933461946e-14	1.12232636379425e-12	124	145	344	0	0	0	0	0
TRINITY_DN1037352_c0_g1_i1	HOL01	HOL03	91.8088828114772	0	34.428331054304	9.10319025609449	1.20172205438634	7.57512123778327	3.58792409980886e-14	1.42917421408706e-12	47	110	102	0	0	0	0	0
TRINITY_DN132512_c0_g1_i1	HOL01	HOL03	152.724067925158	0	57.2715254719341	9.83717076586136	1.30029419580921	7.56534236449425	3.8684437580721e-14	1.52898367710175e-12	92	105	216	0	0	0	0	0
TRINITY_DN12295_c0_g1_i2	HOL01	HOL03	178.344081069437	0	66.8790304010388	10.0610726339726	1.33006033955673	7.56437308500283	3.8973964642312e-14	1.5394339109490399e-12	91	135	257	0	0	0	0	0
TRINITY_DN100547_c0_g1_i2	HOL01	HOL03	256.338751685142	0	96.1270318819283	10.584644558779	1.40499703316867	7.53357075417277	4.9371240490337605e-14	1.91553534272296e-12	120	172	395	0	0	0	0	0
TRINITY_DN102914_c0_g1_i1	HOL01	HOL03	54.7863125323416	0	20.5448671996281	8.35654366714402	1.11027325038972	7.52656489221081	5.20925962210187e-14	2.0084007062858798e-12	48	44	60	0	0	0	0	0
TRINITY_DN130573_c0_g1_i1	HOL01	HOL03	281.034724189433	0	105.388021571037	10.7173619646631	1.42746207758455	7.50798366762797	6.00449941983427e-14	2.27773156629911e-12	144	161	443	0	0	0	0	0
TRINITY_DN107918_c0_g1_i1	HOL01	HOL03	128.856947568223	0	48.3213553380837	9.59184627632864	1.27854261970158	7.50217171373408	6.27690690649644e-14	2.3722526083448e-12	84	87	178	0	0	0	0	0
TRINITY_DN10532_c0_g1_i2	HOL01	HOL03	105.23352328711	0	39.4625712326663	9.29953346387145	1.23968280122422	7.50154269679945	6.30710784490215e-14	2.3807291922503997e-12	63	86	139	0	0	0	0	0
TRINITY_DN10706_c0_g1_i1	HOL01	HOL03	154.869299271343	0	58.0759872267538	9.85739213251964	1.31720498324987	7.48356729428631	7.233183819981461e-14	2.69870000221391e-12	78	124	219	0	0	0	0	0
TRINITY_DN1021505_c0_g1_i1	HOL01	HOL03	260.289679817649	0	97.6086299316183	10.6067581012875	1.42707062427088	7.43253902147042	1.06532659521264e-13	3.87626371200818e-12	103	199	399	0	0	0	0	0
TRINITY_DN130432_c0_g1_i1	HOL01	HOL03	145.064840775871	0	54.3993152909516	9.76289592518656	1.31439609056354	7.42766658793148	1.10530135078809e-13	4.01387532029227e-12	92	92	207	0	0	0	0	0
TRINITY_DN111803_c0_g1_i1	HOL01	HOL03	62.7189735370521	0	23.5196150763945	8.55307800455634	1.15225724547191	7.42288932282082	1.14592531755104e-13	4.14665225807025e-12	81	43	52	0	0	0	0	0
