gene_id	DE_03	DE_05	DE_11	DE_12	DE_13	DE_14	DE_15_1	DE_15_2
NA	169	288	699	0	0	0	0	0
NA	80	122	164	0	0	0	0	0
NA	36	61	128	0	0	0	0	0
NA	18	25	116	0	0	0	0	0
NA	0	0	0	3	33	9	6	3
NA	37	42	77	0	0	0	0	0
NA	38	128	298	0	0	0	0	0
NA	279	179	90	0	0	0	0	0
NA	10	4	35	0	0	0	0	0
NA	135	208	140	0	0	0	0	0
NA	28	47	43	0	0	0	0	0
NA	0	0	5	74	28	45	7	130
NA	64	90	243	0	0	0	0	0
NA	0	0	0	415	0	315	228	0
NA	764	980	1130	0	0	0	0	0
NA	1678	2395	3723	0	0	0	0	0
NA	14	17	57	0	0	0	0	0
NA	2	0	9	37	85	86	39	63
NA	212	248	662	0	0	0	0	0
NA	15	5	5	61	51	76	49	39
NA	0	0	0	29	0	116	123	59
NA	143	157	331	0	0	0	0	0
NA	2267	3345	4935	0	0	0	0	0
NA	62	151	332	0	0	0	0	0
NA	2	0	14	55	87	111	34	63
NA	1	0	3	13	20	22	6	14
NA	134	115	252	0	0	0	0	0
NA	53	61	133	0	0	0	0	0
NA	708	678	1512	0	0	0	0	0
NA	16	68	269	0	0	0	0	0
NA	199	132	293	0	0	0	0	0
NA	0	0	0	0	249	0	263	0
NA	11	5	30	0	0	0	0	0
NA	9	29	30	0	0	0	0	0
NA	7	33	76	0	0	0	0	0
NA	144	172	282	0	0	0	0	0
NA	425	470	292	0	0	0	0	0
NA	173	238	361	0	0	0	0	0
NA	51	146	111	0	0	0	0	0
NA	11	78	40	12	0	7	10	5
NA	0	1	1	19	4	6	15	9
NA	0	0	0	31	16	0	23	44
NA	49	34	71	0	0	0	0	0
NA	0	0	1	9	49	52	3	19
NA	64	61	146	0	0	0	0	0
NA	33	43	47	0	0	0	0	0
NA	43	61	158	0	0	0	0	0
NA	2	27	72	0	0	0	0	0
NA	0	0	0	0	177	119	0	239
NA	54	58	127	0	0	0	0	0
NA	394	336	430	0	0	0	0	0
NA	14	10	39	0	0	0	0	0
NA	26	49	93	0	0	0	0	0
NA	79	71	162	0	0	0	0	0
NA	19	38	24	0	0	0	0	0
NA	398	499	362	0	0	0	0	0
NA	200	197	503	0	0	0	0	0
NA	92	185	391	0	0	0	0	0
NA	6	0	21	132	542	312	89	118
NA	155	202	332	0	0	0	0	0
NA	5	14	41	0	0	0	0	0
NA	69	104	14	0	0	0	0	0
NA	1	0	7	33	80	48	13	37
NA	3459	4617	9139	0	0	0	0	0
NA	66	97	261	0	0	0	0	0
NA	85	201	80	0	0	0	0	0
NA	187	268	628	0	0	0	0	0
NA	52	87	147	0	0	0	0	0
NA	2111	2644	7410	0	0	0	0	0
NA	39	54	78	0	0	0	0	0
NA	9	12	20	0	0	0	0	0
NA	2980	5576	15577	0	0	0	0	0
NA	112	135	72	0	0	0	0	0
NA	19	27	4	78	600	52	55	418
NA	94	138	252	0	0	0	0	0
NA	12	72	106	0	0	0	0	0
NA	222	292	464	0	0	0	0	0
NA	114	160	212	0	0	0	0	0
NA	1	0	0	34	17	43	8	31
NA	225	361	606	0	0	0	0	0
NA	33	34	60	0	0	0	0	0
NA	5	16	28	0	0	0	0	0
NA	0	0	0	11	94	39	2	13
NA	67	86	186	0	0	0	0	0
NA	116	79	79	0	0	0	0	0
NA	92	105	216	0	0	0	0	0
